person_age,person_income,person_emp_length,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_term_months,loan_to_income_ratio,other_debt,debt_to_income_ratio,total_debt,home_MORTGAGE,home_OTHER,home_OWN,home_RENT,intent_DEBTCONSOLIDATION,intent_EDUCATION,intent_HOMEIMPROVEMENT,intent_MEDICAL,intent_PERSONAL,intent_VENTURE,free_cash_flow,net_income_after_total_debt,risk_emp_debt,adjusted_loan_to_income
23,277000,3,0,35000,7.49,0,0.13,0,4,36,0.126353791,73129.33064,0.390358594,108129.3306,0,0,1,0,0,0,0,0,1,0,240990,168870.6695,0.0325,0.010082672
25,128000,9,0,30000,7.29,0,0.23,0,4,36,0.234375,21438.41718,0.401862634,51438.41718,0,0,0,1,0,0,0,0,1,0,98560,76561.58285,0.023,0.019930197
24,12000,2,4,1750,16.82,0,0.15,1,3,36,0.145833333,2467.213396,0.35143445,4217.213396,0,0,1,0,0,0,0,0,0,1,10200,7782.7866,0.05,0.015526167
21,131000,0,0,30000,5.99,0,0.23,0,4,12,0.229007634,34431.39022,0.491842673,64431.39022,0,0,0,1,0,0,0,0,0,1,100870,66568.60984,0.23,0.019435492
22,275000,6,1,12000,11.58,0,0.04,0,2,36,0.043636364,76162.28593,0.320590131,88162.28593,0,0,1,0,0,0,0,0,0,1,264000,186837.714,0.005714286,0.003484072
26,263000,0,1,10000,10.99,1,0.04,0,4,60,0.038022814,63598.54871,0.279842391,73598.54871,1,0,0,0,0,1,0,0,0,0,252480,189401.4512,0.04,0.003046721
25,221850,9,3,25000,15.7,1,0.1,0,2,60,0.112688754,57661.70226,0.372601768,82661.70226,1,0,0,0,0,0,0,1,0,0,199665,139188.2978,0.01,0.009154422
22,70000,6,3,29100,15.99,1,0.42,0,3,36,0.415714286,16840.4519,0.65629217,45940.4519,0,0,0,1,0,1,0,0,0,0,40600,24059.5481,0.06,0.037262856
22,12000,7,3,1500,14.84,0,0.13,1,3,12,0.125,2503.484412,0.333623701,4003.484412,1,0,0,0,0,1,0,0,0,0,10440,7996.515588,0.01625,0.013308143
26,260000,10,1,28000,10.99,0,0.11,0,3,36,0.107692308,61419.98456,0.343923018,89419.98456,0,0,1,0,0,0,1,0,0,0,231400,170580.0153,0.01,0.008637191
25,259000,9,3,20000,14.42,0,0.08,1,2,24,0.077220077,31530.27497,0.198958591,51530.27497,1,0,0,0,0,0,1,0,0,0,238280,207469.7249,0.008,0.006195157
24,255000,9,0,9600,6.99,0,0.04,0,2,36,0.037647059,25386.74765,0.137202932,34986.74765,1,0,0,0,0,1,0,0,0,0,244800,220013.2523,0.004,0.003024098
25,250000,2,2,25000,13.49,0,0.1,0,4,36,0.1,62425.33877,0.349701355,87425.33877,0,0,0,1,0,0,0,1,0,0,225000,162574.6613,0.033333333,0.008045557
25,12000,0,2,3000,13.48,1,0.25,0,3,60,0.25,3485.808033,0.540484003,6485.808033,0,0,1,0,0,0,0,1,0,0,9000,5514.191964,0.25,0.026616287
22,56950,6,0,28000,7.49,1,0.49,0,2,36,0.49165935,6052.191471,0.597931369,34052.19147,0,0,0,1,0,0,0,1,0,0,29044.5,22897.80854,0.07,0.044900617
21,12000,6,2,3000,13.61,1,0.25,1,3,24,0.25,2298.199366,0.441516614,5298.199366,0,0,1,0,0,1,0,0,0,0,9000,6701.800632,0.035714286,0.026616287
23,65000,2,0,28000,7.9,1,0.43,0,2,60,0.430769231,10103.29958,0.586204609,38103.29958,0,0,0,1,0,1,0,0,0,0,37050,26896.70041,0.143333333,0.038870519
26,85000,2,0,28000,7.49,1,0.33,0,3,36,0.329411765,13066.0284,0.483129746,41066.0284,0,0,0,1,0,0,0,0,0,1,56950,43933.97159,0.11,0.029021993
26,12000,2,0,6100,7.51,1,0.51,0,3,24,0.508333333,3205.238525,0.775436544,9305.238525,0,0,1,0,0,1,0,0,0,0,5880,2694.761472,0.17,0.054119783
22,88000,6,1,28000,9.91,1,0.32,0,3,36,0.318181818,25698.42088,0.610209328,53698.42088,0,0,0,1,0,0,0,0,0,1,59840,34301.57914,0.045714286,0.027947205
21,12000,0,2,4200,13.48,1,0.35,1,4,36,0.35,871.4907128,0.422624226,5071.490713,0,0,1,0,0,0,0,0,1,0,7800,6928.509288,0.35,0.037262801
22,12000,6,0,4750,7.14,1,0.4,0,2,24,0.395833333,2949.986911,0.641665576,7699.986911,0,0,1,0,1,0,0,0,0,0,7200,4300.013088,0.057142857,0.042142454
24,83004,0,3,28000,15.99,1,0.34,1,4,36,0.337333141,8806.578368,0.443431381,36806.57837,0,0,0,1,0,0,0,0,0,1,54782.64,46197.42165,0.34,0.029782236
24,250000,2,2,18000,12.98,0,0.07,1,3,12,0.072,63732.34777,0.326929391,81732.34777,0,0,0,1,0,1,0,0,0,0,232500,168267.6523,0.023333333,0.005792801
25,100000,5,1,28000,12.69,0,0.28,0,3,60,0.28,24412.2705,0.524122705,52412.2705,0,0,0,1,1,0,0,0,0,0,72000,47587.7295,0.046666667,0.02432047
26,110000,10,0,28000,8.9,0,0.25,0,2,24,0.254545455,12920.32207,0.372002928,40920.32207,0,0,0,1,0,1,0,0,0,0,82500,69079.67792,0.022727273,0.021927988
26,12000,0,0,2700,7.49,1,0.23,0,4,36,0.225,1439.148393,0.344929033,4139.148393,0,0,1,0,1,0,0,0,0,0,9240,7860.851604,0.23,0.023954658
22,108000,6,1,28000,10.99,1,0.26,0,4,36,0.259259259,17926.54129,0.425245753,45926.54129,0,0,0,1,0,1,0,0,0,0,79920,62073.45868,0.037142857,0.022369421
23,151200,7,1,28000,11.11,0,0.19,0,2,36,0.185185185,27882.67861,0.369594435,55882.67861,0,0,0,1,1,0,0,0,0,0,122472,95317.32143,0.02375,0.015527378
24,69000,2,0,27600,7.49,1,0.4,0,2,60,0.4,4108.318702,0.459540851,31708.3187,0,0,0,1,0,0,1,0,0,0,41400,37291.68128,0.133333333,0.035900596
21,12000,5,4,3250,15.68,1,0.27,1,3,24,0.270833333,2049.713818,0.441642818,5299.713818,1,0,0,0,1,0,0,0,0,0,8760,6700.286184,0.045,0.02883431
22,70000,4,2,27500,13.06,1,0.39,1,3,60,0.392857143,7489.146196,0.499844946,34989.1462,0,0,0,1,0,1,0,0,0,0,42700,35010.85378,0.078,0.035214039
22,240000,6,1,25000,10.99,0,0.1,0,2,60,0.104166667,48599.43535,0.306664314,73599.43535,0,0,1,0,0,0,0,0,1,0,216000,166400.5646,0.014285714,0.008408405
26,73200,5,3,27050,15.62,1,0.37,1,2,24,0.369535519,7989.885746,0.478686964,35039.88575,0,0,0,1,0,0,0,0,0,1,46116,38160.11424,0.061666667,0.032991402
24,83000,5,2,27000,13.49,1,0.33,1,2,36,0.325301205,11528.961,0.464204349,38528.961,0,0,0,1,0,0,0,0,1,0,55610,44471.03903,0.055,0.028720091
24,73399,0,3,27000,15.31,1,0.37,0,3,36,0.367852423,18180.56448,0.615547412,45180.56448,0,0,0,1,0,0,0,0,0,1,46241.37,28218.43551,0.37,0.032833181
23,62500,7,1,26000,11.71,1,0.42,0,2,60,0.416,17684.97954,0.698959673,43684.97954,0,0,0,1,0,0,0,1,0,0,36250,18815.02044,0.0525,0.037671135
23,120000,1,1,25600,12.69,0,0.21,0,3,36,0.213333333,16313.43484,0.349278624,41913.43484,0,0,0,1,0,1,0,0,0,0,94800,78086.56512,0.105,0.018241015
24,12360,2,2,1600,13.57,0,0.13,0,3,60,0.129449838,923.4728884,0.204164473,2523.472888,0,0,1,0,0,0,0,1,0,0,10753.2,9836.527114,0.043333333,0.013738664
22,60000,0,1,25475,10.99,1,0.42,0,3,24,0.424583333,4281.544635,0.495942411,29756.54464,0,0,0,1,0,0,0,0,0,1,34800,30243.45534,0.42,0.03859106
25,234000,3,2,20000,14.27,0,0.09,1,4,60,0.085470085,21441.53219,0.177100565,41441.53219,1,0,0,0,0,0,0,1,0,0,212940,192558.4678,0.0225,0.006913332
24,234000,8,1,20000,8.88,0,0.09,0,4,60,0.085470085,56080.33387,0.325129632,76080.33387,0,0,1,0,0,0,1,0,0,0,212940,157919.6661,0.01,0.006913332
26,234000,10,1,21600,12.18,0,0.09,0,3,60,0.092307692,69031.67696,0.387314859,90631.67696,1,0,0,0,0,0,1,0,0,0,212940,143368.323,0.008181818,0.007466399
25,221004,6,3,11900,14.42,1,0.05,1,3,12,0.053845179,62965.50137,0.338751794,74865.50137,1,0,0,0,1,0,0,0,0,0,209953.8,146138.4985,0.007142857,0.004375544
26,232500,0,2,25000,14.17,0,0.11,1,2,24,0.107526882,68888.55332,0.403821735,93888.55332,1,0,0,0,0,0,0,1,0,0,206925,138611.4466,0.11,0.008701945
25,230000,5,2,35000,13.99,0,0.15,0,4,60,0.152173913,18829.75145,0.234042398,53829.75145,1,0,0,0,0,0,0,1,0,0,195500,176170.2485,0.025,0.012325927
23,83000,7,1,25300,10.99,1,0.3,0,3,36,0.304819277,11290.76697,0.440852614,36590.76697,0,0,0,1,0,1,0,0,0,0,58100,46409.23304,0.0375,0.026911788
22,12600,4,0,2000,5.42,1,0.16,0,4,60,0.158730159,674.8497759,0.212289665,2674.849776,1,0,0,0,0,0,0,0,1,0,10584,9925.150221,0.032,0.016811908
25,12600,3,2,1750,13.61,0,0.14,0,3,36,0.138888889,1508.979545,0.25864917,3258.979545,0,0,1,0,0,0,0,0,1,0,10836,9341.020458,0.035,0.01471042
21,42500,3,2,25000,12.73,1,0.59,1,3,60,0.588235294,9043.660955,0.801027317,34043.66096,0,0,0,1,0,1,0,0,0,0,17425,8456.339028,0.1475,0.055195616
24,41000,2,3,25000,15.31,1,0.61,0,3,36,0.609756098,4384.243816,0.716688874,29384.24382,0,0,0,1,0,0,1,0,0,0,15990,11615.75617,0.203333333,0.057408521
25,12816,0,2,3000,12.87,1,0.23,1,4,36,0.234082397,818.8823502,0.297977711,3818.88235,0,0,1,0,1,0,0,0,0,0,9868.32,8997.117656,0.23,0.024748291
24,12960,1,1,3650,9.91,1,0.28,0,3,36,0.281635802,830.3665388,0.345707295,4480.366539,1,0,0,0,0,0,1,0,0,0,9331.2,8479.633457,0.14,0.029740731
26,226000,4,1,20000,11.49,0,0.09,0,4,60,0.088495575,64040.38999,0.371860133,84040.38999,1,0,0,0,0,0,1,0,0,0,205660,141959.6099,0.018,0.007178249
25,225000,0,4,30000,19.91,0,0.13,1,2,36,0.133333333,22267.63138,0.232300584,52267.63138,1,0,0,0,0,0,1,0,0,0,195750,172732.3686,0.13,0.010819121
26,213000,6,1,35000,10.65,1,0.16,0,2,36,0.164319249,55799.2302,0.426287466,90799.2302,1,0,0,0,0,1,0,0,0,0,178920,122200.7697,0.022857143,0.013392986
24,225000,0,1,6000,10.99,0,0.03,0,4,36,0.026666667,63994.91882,0.311088528,69994.91882,0,0,0,1,0,0,0,1,0,0,218250,155005.0812,0.03,0.002163824
24,12960,0,1,4500,11.83,1,0.35,0,4,36,0.347222222,2172.270239,0.514835667,6672.270239,1,0,0,0,1,0,0,0,0,0,8424,6287.729756,0.35,0.036666654
23,12996,0,2,2400,13.49,1,0.18,1,2,24,0.184672207,1613.95424,0.308860745,4013.95424,0,0,1,0,1,0,0,0,0,0,10656.72,8982.045758,0.18,0.019495668
22,42000,6,3,25000,14.59,1,0.6,1,2,60,0.595238095,2764.937898,0.66106995,27764.9379,0,0,0,1,0,0,0,1,0,0,16800,14235.0621,0.085714286,0.055914796
26,48000,2,1,25000,9.64,1,0.52,0,4,60,0.520833333,13578.5429,0.803719644,38578.5429,0,0,0,1,0,1,0,0,0,0,23040,9421.457088,0.173333333,0.048319365
25,12996,1,3,3600,14.59,1,0.28,0,3,12,0.27700831,2519.463643,0.470872856,6119.463643,0,0,1,0,0,0,0,1,0,0,9357.12,6876.536363,0.14,0.029243502
22,12996,1,1,4750,10.99,1,0.37,0,3,24,0.365497076,3850.102347,0.66174995,8600.102347,0,0,1,0,0,1,0,0,0,0,8187.48,4395.89765,0.185,0.038585177
25,42360,1,4,25000,16.35,1,0.59,1,3,36,0.590179415,3002.050129,0.661049342,28002.05013,0,0,0,1,0,1,0,0,0,0,17367.6,14357.94987,0.295,0.055395188
21,49000,4,1,25000,10.99,1,0.51,0,2,36,0.510204082,8453.300529,0.682720419,33453.30053,0,0,0,1,0,1,0,0,0,0,24010,15546.69947,0.102,0.047242886
25,225000,0,5,25000,18.67,0,0.11,0,2,36,0.111111111,39976.25244,0.288783344,64976.25244,1,0,0,0,0,0,0,0,0,1,200250,160023.7476,0.11,0.009015934
26,225000,1,0,3000,9.32,0,0.01,0,4,60,0.013333333,41642.36334,0.198410504,44642.36334,0,0,0,1,0,1,0,0,0,0,222750,180357.6366,0.005,0.001081912
23,225000,8,0,7500,8.63,0,0.03,0,2,60,0.033333333,57144.69433,0.287309753,64644.69433,0,0,0,1,1,0,0,0,0,0,218250,160355.3056,0.003333333,0.00270478
26,225000,2,1,25000,10.08,0,0.11,0,2,60,0.111111111,30663.76219,0.247394499,55663.76219,1,0,0,0,0,0,0,0,0,1,200250,169336.2377,0.036666667,0.009015934
22,49464,5,1,25000,11.83,1,0.51,0,3,36,0.505418082,12506.37048,0.758255913,37506.37048,0,0,0,1,0,0,0,0,1,0,24237.36,11957.62952,0.085,0.046758915
23,50000,1,0,25000,7.9,1,0.5,0,3,36,0.5,13702.98913,0.774059783,38702.98913,0,0,0,1,1,0,0,0,0,0,25000,11297.01085,0.25,0.046211582
25,50000,4,0,25000,5.99,1,0.5,0,2,24,0.5,10372.10174,0.707442035,35372.10174,0,0,0,1,0,0,1,0,0,0,25000,14627.89825,0.1,0.046211582
24,44000,2,3,25000,15.33,1,0.57,0,2,60,0.568181818,10717.54422,0.811762369,35717.54422,0,0,0,1,1,0,0,0,0,0,18920,8282.455764,0.19,0.053140997
23,50000,1,1,25000,11.83,1,0.5,0,4,36,0.5,7221.991122,0.644439822,32221.99112,0,0,0,1,0,0,0,0,0,1,25000,17778.0089,0.25,0.046211582
22,50004,0,1,25000,10.36,1,0.5,0,2,12,0.499960003,10415.42747,0.708251889,35415.42747,0,0,0,1,0,0,0,0,0,1,25002,14588.57254,0.5,0.046207544
22,50004,3,2,25000,12.23,1,0.5,0,3,60,0.499960003,14545.63595,0.790849451,39545.63595,0,0,0,1,0,0,0,0,0,1,25002,10458.36405,0.125,0.046207544
22,52000,2,1,25000,11.11,1,0.48,0,4,60,0.480769231,12994.63485,0.730666055,37994.63485,0,0,0,1,0,1,0,0,0,0,27040,14005.36514,0.16,0.044273729
23,13200,3,0,4950,7.9,1,0.38,0,4,24,0.375,854.4331212,0.439729782,5804.433121,0,0,1,0,1,0,0,0,0,0,8184,7395.566878,0.095,0.039523409
24,220000,1,1,25000,11.58,0,0.11,0,2,24,0.113636364,62139.74387,0.396089745,87139.74387,1,0,0,0,0,1,0,0,0,0,195800,132860.2561,0.055,0.009237687
23,216000,5,0,21000,8.9,0,0.1,0,3,36,0.097222222,60618.93847,0.377865456,81618.93847,1,0,0,0,1,0,0,0,0,0,194400,134381.0615,0.016666667,0.007915161
25,216000,2,3,25000,16.07,0,0.12,0,3,36,0.115740741,50597.57575,0.349988777,75597.57575,1,0,0,0,0,1,0,0,0,0,190080,140402.4242,0.04,0.00942281
26,216000,10,2,20000,14.22,0,0.09,1,2,60,0.092592593,63360.45103,0.385928014,83360.45103,1,0,0,0,0,1,0,0,0,0,196560,132639.549,0.008181818,0.007538248
23,215000,7,2,35000,14.79,0,0.16,1,3,36,0.162790698,28477.62566,0.295244771,63477.62566,1,0,0,0,0,0,0,1,0,0,180600,151522.3742,0.02,0.013258301
26,215000,11,0,12000,7.88,0,0.06,0,2,60,0.055813953,24621.34315,0.170331829,36621.34315,1,0,0,0,0,1,0,0,0,0,202100,178378.6568,0.005,0.004545703
23,52000,1,2,25000,13.22,1,0.48,0,2,12,0.480769231,8493.001941,0.644096191,33493.00194,0,0,0,1,0,0,0,0,1,0,27040,18506.99807,0.24,0.044273729
26,46000,2,3,25000,11.86,1,0.54,0,4,24,0.543478261,3662.525248,0.623098375,28662.52525,0,0,0,1,1,0,0,0,0,0,21160,17337.47475,0.18,0.050620071
22,53000,5,2,25000,13.43,1,0.47,1,4,36,0.471698113,4216.907339,0.551262403,29216.90734,0,0,0,1,0,1,0,0,0,0,28090,23783.09264,0.078333333,0.043362314
26,47000,0,3,25000,15.28,1,0.53,1,2,36,0.531914894,10256.88001,0.750146383,35256.88001,0,0,0,1,0,0,1,0,0,0,22090,11743.12,0.53,0.049444009
23,47000,1,4,25000,17.93,1,0.53,0,2,12,0.531914894,6116.177868,0.662046338,31116.17787,0,0,0,1,0,0,0,0,0,1,22090,15883.82211,0.265,0.049444009
23,13200,2,1,1400,9.25,0,0.11,0,4,36,0.106060606,2468.413373,0.293061619,3868.413373,1,0,0,0,0,1,0,0,0,0,11748,9331.586629,0.036666667,0.011178338
21,13200,0,2,4500,12.98,1,0.34,0,4,60,0.340909091,3342.399689,0.594121189,7842.399689,0,0,1,0,0,0,0,0,0,1,8712,5357.600305,0.34,0.035930372
